user_id,cellphone_id,brand,model,operating_system,internal_memory,RAM,performance,main_camera,selfie_camera,battery_size,screen_size,price,release_date,age,gender,job,rating
0,3,APPLE,"iPhone 13 Pro",IOS,256,6,7.94,12,12,3065,6.1,999,2021-09-24,38,FEMALE,"data analyst",10
0,5,APPLE,"iPhone XR",IOS,64,3,4.22,12,7,2942,6.1,236,2018-10-26,38,FEMALE,"data analyst",3
0,8,SAMSUNG,"Galaxy A32",ANDROID,64,4,2.2,48,13,5000,6.5,199,2021-01-22,38,FEMALE,"data analyst",2
0,9,SAMSUNG,"Galaxy A53",ANDROID,128,6,3.79,64,32,5000,6.5,312,2022-03-24,38,FEMALE,"data analyst",3
0,10,SAMSUNG,"Galaxy S22",ANDROID,128,8,8.81,50,10,3700,6.1,528,2022-02-25,38,FEMALE,"data analyst",9
0,16,GOOGLE,"Pixel 6a",ANDROID,128,6,6.88,12,8,4410,6.1,449,2021-07-21,38,FEMALE,"data analyst",2
0,19,ONEPLUS,"Nord 2T",ANDROID,128,8,6.04,50,32,4500,6.4,379,2022-05-21,38,FEMALE,"data analyst",1
0,22,OPPO,"Find X5 Pro",ANDROID,256,12,10.12,50,32,5000,6.7,987,2022-03-14,38,FEMALE,"data analyst",1
0,23,VIVO,"X80 Pro",ANDROID,256,8,9.81,50,32,4700,6.7,872,2022-04-29,38,FEMALE,"data analyst",2
0,30,MOTOROLA,"Moto G Play (2021)",ANDROID,32,3,1.42,13,5,5000,6.5,159,2021-01-14,38,FEMALE,"data analyst",1
1,3,APPLE,"iPhone 13 Pro",IOS,256,6,7.94,12,12,3065,6.1,999,2021-09-24,40,FEMALE,"team worker in it",10
1,4,APPLE,"iPhone 13 Pro Max",IOS,256,6,8.01,12,12,4352,6.7,1199,2021-09-24,40,FEMALE,"team worker in it",7
1,7,SAMSUNG,"Galaxy A13",ANDROID,32,3,1.36,50,8,5000,6.6,154,2022-03-23,40,FEMALE,"team worker in it",8
1,8,SAMSUNG,"Galaxy A32",ANDROID,64,4,2.2,48,13,5000,6.5,199,2021-01-22,40,FEMALE,"team worker in it",8
1,15,GOOGLE,"Pixel 6  ",ANDROID,128,8,6.76,50,8,4614,6.4,499,2021-10-28,40,FEMALE,"team worker in it",8
1,16,GOOGLE,"Pixel 6a",ANDROID,128,6,6.88,12,8,4410,6.1,449,2021-07-21,40,FEMALE,"team worker in it",7
1,18,ONEPLUS,"Nord N20",ANDROID,128,6,3.8,64,16,4500,6.4,299,2022-04-28,40,FEMALE,"team worker in it",5
1,28,SONY,"Xperia Pro",ANDROID,512,12,6.82,12,8,4000,6.5,1998,2021-01-27,40,FEMALE,"team worker in it",8
1,31,MOTOROLA,"Moto G Pure",ANDROID,32,3,1.02,13,5,4000,6.5,129,2021-10-14,40,FEMALE,"team worker in it",7
1,32,MOTOROLA,"Moto G Power (2022)",ANDROID,64,4,1.35,50,8,5000,6.5,189,2022-02-22,40,FEMALE,"team worker in it",6
6,1,APPLE,"iPhone 13 Mini",IOS,128,4,7.72,12,12,2438,5.4,699,2021-09-24,55,FEMALE,"it",2
